pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
89.0,-91.75,90.0,bottom,BT1,,,BatteryHolder_Keystone_2468_2xAAA,Battery_Cell,tht
82.5,-42.5,0.0,top,BZ1,,,Buzzer_CUI_CPT-9019S-SMT,Buzzer,smt
82.9375,-75.75,180.0,top,C1,,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,10uF,smt
82.4625,-73.0,180.0,top,C2,,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,0.1uF,smt
72.75,-71.25,-90.0,top,C3,,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,10nF,smt
89.0375,-69.75,0.0,top,C4,,,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,0.47 uF,smt
82.5,-67.5,180.0,top,IC1,MSPM0G3107SDGS28R,,SOP50P490X110-28N,MSPM0G3507SDGS28R,smt
111.25,-58.92,0.0,top,J1,,,PinHeader_1x09_P2.54mm_Horizontal,Conn_01x09,tht
61.125,-73.3,180.0,top,J2,,,PinHeader_1x05_P2.54mm_Horizontal,Conn_01x05,tht
65.0,-50.0,180.0,top,LED1,,,BL-HBGR32L-3-TRB-8_AMB,BL-HBGR32L-3-TRB-8,smt
65.0,-85.0,0.0,top,LED2,,,BL-HBGR32L-3-TRB-8_AMB,BL-HBGR32L-3-TRB-8,smt
100.0,-85.0,0.0,top,LED3,,,BL-HBGR32L-3-TRB-8_AMB,BL-HBGR32L-3-TRB-8,smt
100.0,-50.0,180.0,top,LED4,,,BL-HBGR32L-3-TRB-8_AMB,BL-HBGR32L-3-TRB-8,smt
75.0,-71.3375,-90.0,top,R5,,,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,47k,smt
89.0,-66.75,180.0,top,R6,,,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,100k,smt
58.0,-42.0,180.0,top,SW1,,,SW_SPST_PTS645,SW_DPST,smt
58.0,-93.0,0.0,top,SW2,,,SW_SPST_PTS645,SW_DPST,smt
107.0,-93.0,0.0,top,SW3,,,SW_SPST_PTS645,SW_DPST,smt
107.0,-42.0,180.0,top,SW4,,,SW_SPST_PTS645,SW_DPST,smt
82.25,-88.75,180.0,top,SW6,,,SW_DPDT_CK_JS202011JCQN,SW_SPDT,smt
73.75,-63.4875,180.0,top,U1,,,LGA-12_2x2mm_P0.5mm,LIS2HH12,smt
